sample_name,State,Pseudotime
Cell_182,5,135
Cell_229,5,136
Cell_233,5,137
Cell_248,5,138
Cell_181,5,139
Cell_203,5,140
Cell_260,5,141
Cell_186,5,142
Cell_221,5,143
Cell_256,5,144
Cell_238,5,145
Cell_311,5,146
Cell_189,5,147
Cell_253,5,148
Cell_315,5,149
Cell_187,5,150
Cell_171,5,151
Cell_185,5,152
Cell_162,5,153
Cell_204,4,154
Cell_236,4,155
Cell_292,4,156
Cell_240,4,157
Cell_304,4,158
Cell_288,4,159
Cell_177,4,160
Cell_259,4,161
Cell_172,4,162
Cell_265,4,163
Cell_225,4,164
Cell_293,4,165
Cell_446,4,166
Cell_257,4,167
Cell_170,4,168
Cell_449,4,169
Cell_202,4,170
Cell_295,4,171
Cell_447,4,172
Cell_223,4,173
Cell_210,4,174
Cell_291,4,175
Cell_451,4,176
Cell_286,4,177
Cell_266,4,178
Cell_219,4,179
Cell_235,4,180
Cell_452,4,181
Cell_445,4,182
Cell_178,4,183
Cell_218,4,184
Cell_239,4,185
Cell_217,4,186
Cell_207,4,187
Cell_194,4,188
Cell_448,4,189
Cell_161,4,190
Cell_450,4,191
Cell_252,4,192
Cell_180,4,193
Cell_284,4,194
Cell_179,4,195
Cell_282,4,196
Cell_188,4,197
Cell_264,4,198
Cell_228,4,199
Cell_173,4,200
Cell_261,4,201
Cell_183,4,202
Cell_310,4,203
Cell_169,4,204
Cell_175,4,205
Cell_308,4,206
Cell_200,4,207
Cell_141,4,208
Cell_226,4,209
Cell_157,4,210
Cell_316,4,211
Cell_190,4,212
Cell_132,4,213
Cell_201,4,214
Cell_198,4,215
Cell_220,4,216
Cell_444,4,217
Cell_296,4,218
Cell_199,4,219
Cell_211,4,220
Cell_142,4,221
Cell_303,4,222
Cell_159,4,223
Cell_281,4,224
Cell_290,4,225
Cell_138,4,226
Cell_289,4,227
Cell_278,4,228
Cell_174,4,229
Cell_302,4,230
Cell_287,4,231
Cell_176,4,232
Cell_167,4,233
Cell_195,4,234
Cell_163,4,235
Cell_145,4,236
Cell_301,4,237
Cell_140,4,238
Cell_197,4,239
Cell_280,4,240
Cell_184,4,241
Cell_166,4,242
Cell_139,4,243
Cell_317,4,244
Cell_191,4,245
Cell_164,4,246
Cell_165,4,247
Cell_196,4,248
Cell_330,4,249
Cell_144,4,250
Cell_150,4,251
Cell_152,4,252
Cell_294,4,253
Cell_158,4,254
Cell_206,4,255
Cell_143,4,256
Cell_137,4,257
Cell_285,4,258
Cell_149,4,259
Cell_155,4,260
Cell_131,4,261
Cell_297,4,262
Cell_323,4,263
Cell_134,4,264
Cell_205,4,265
Cell_133,4,266
Cell_299,4,267
Cell_283,4,268
Cell_212,4,269
Cell_209,4,270
Cell_151,4,271
Cell_135,4,272
Cell_324,4,273
Cell_326,4,274
Cell_129,4,275
Cell_147,4,276
Cell_193,4,277
Cell_146,4,278
Cell_128,4,279
Cell_136,4,280
Cell_322,4,281
Cell_168,4,282
Cell_160,4,283
Cell_307,4,284
Cell_275,4,285
Cell_320,4,286
Cell_300,4,287
Cell_208,4,288
Cell_148,4,289
Cell_156,4,290
Cell_130,4,291
Cell_279,4,292
Cell_298,4,293
Cell_321,4,294
Cell_325,4,295
Cell_127,4,296
Cell_153,4,297
Cell_277,4,298
Cell_192,4,299
Cell_319,4,300
Cell_154,4,301
Cell_125,4,302
Cell_276,4,303
Cell_318,4,304
Cell_126,4,305
Cell_274,4,306
Cell_356,6,307
Cell_333,6,308
Cell_344,6,309
Cell_340,6,310
Cell_335,6,311
Cell_339,6,312
Cell_336,6,313
Cell_343,6,314
Cell_347,6,315
Cell_338,6,316
Cell_337,6,317
Cell_352,6,318
Cell_341,6,319
Cell_327,6,320
Cell_354,6,321
Cell_345,6,322
Cell_350,6,323
Cell_357,6,324
Cell_331,6,325
Cell_349,6,326
Cell_328,6,327
Cell_334,6,328
Cell_348,6,329
Cell_355,6,330
Cell_351,6,331
Cell_346,6,332
